title,description
'It was mandatory': Calgary Stampede cancelled for 1st time in almost a century due to pandemic,Calgary's world-famous event draws more than 1 million visitors each year,2020-04-24,CBC
Alberta finance minister authorized to borrow up to $25 billion,Budget planned for $6.8 billion in borrowing,2020-04-24,CBC
P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions,'This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season',2020-04-23,CBC
'It was mandatory': Calgary Stampede cancelled for 1st time in almost a century due to pandemic,Calgary's world-famous event draws more than 1 million visitors each year,2020-04-24,CBC
Path of COVID-19 economy even harder to predict than that of virus itself: Don Pittis,"Economic bounce-back depends not just on what virus does but how governments, businesses, people react",2020-05-04,CBC
"Economy flat in July as oil and gas sector down, Statistics Canada says","Economists had expected growth of 0.1 per cent, according to financial markets data firm Refinitiv.",2019-10-01,CBC
'We make zero': How COVID-19 is likely to impact B.C.'s economy,"Extent of damage largely dependent on the time it takes to contain the virus, economists say",2020-04-12,CBC
'We make zero': How COVID-19 is likely to impact B.C.'s economy,"Extent of damage largely dependent on the time it takes to contain the virus, economists say",2020-04-12,CBC
Conference Board slashes Manitoba's 2019 economic growth projection ahead of election,"Trade tensions, less robust consumer and government spending weigh down province's economy",2019-08-22,CBC
Is Trudeau a 'tax-and-spend' Liberal? The numbers say no,"Painting the PM as fiscally feckless is a key Conservative argument - but on taxation, it doesn't stand up",2019-06-08,CBC
Canada's economy expanded 0.2% in June despite manufacturing slowdown,"For the second month in a row, Toronto Raptors playoff run helped boost spending to have impact on GDP",2019-08-30,CBC
Wealth begets wealth. The looming question now: Who will be the world's first trillionaire? — Michael's essay,,2020-02-28,CBC
Post-secondary schools face rough autumn if pandemic keeps foreign students away,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,CBC
Why are stock markets soaring amid so much uncertainty?,"Despite gloomy forecasts and slow growth, it doesn't take much to spur investors",2019-11-05,CBC
"For Alberta, the day of fiscal reckoning has arrived","Province’s economy and budget can recover, but it will require hard choices",2020-04-28,CBC
"Rising home prices encourage consumers to borrow and spend, giving economy a boost",Bank of Canada study analyzes spending triggered by borrowing against the house,2019-09-20,CBC
Ontario introduces $17B COVID-19 package; more than doubles deficit in fiscal update,Finance Minister Rod Phillips will table a full budget by Nov. 15,2020-03-25,CBC
"A month after Dorian, the Bahamas still needs aid — but officials say it needs tourists even more","'If we're going to help those islands rebuild ... people need to visit our country,' says tourism minister",2019-10-04,CBC
