title,description
TSX and Dow close near record highs as Trump pushes business-friendly agenda,TSX and Dow both within striking distance of all-time highs,2017-01-24,CBC
"TSX, New York make gains on first trading day of 2017",Gold stocks were the leading advancer on the S&P/TSX composite index ,2017-01-03,CBC
TSX halts trading in BCE shares,,2008-05-23,CBC
A new way to bet on legal marijuana hits the TSX,Horizons Medical Marijuana Life Sciences ETF focuses on producers and drug companies,2017-04-05,CBC
"TSX, Canadian dollar rise after federal election",,2015-10-21,CBC
TSX falls to 3-month low,,2007-11-19,CBC
TSX dropping some stock symbol extensions in 2006,,2005-12-21,CBC
"S&P/TSX composite index gains over 150 points, North American markets rise",Loonie was relatively flat ahead of Wednesday's Bank of Canada interest rate decision,2016-10-18,CBC
Hemosol declares insolvency; shares under review by TSX,,2005-11-25,CBC
"TSX, Dow tumble on global growth worries",Markets tumble around the world as worries about weakness in China intensify,2015-08-20,CBC
"Canadian dollar falls 16%, TSX down 11% in bleak 2015",Falling oil prices and stalled economy make 2015 a year to forget,2015-12-31,CBC
"Toronto 18 accused planned TSX bomb, court told",,2010-01-14,CBC
"Toronto 18 accused planned TSX bomb, court told",,2010-01-14,CBC
Oil rises to $40 on hopes OPEC has had enough cheap crude,"Some analysts say price has bottomed out, but there's still a glut of oil in storage",2016-03-07,CBC
Teranet Income Fund begins trading on TSX,,2006-06-16,CBC
TSX sinks to lowest level in 4 years,U.S. markets plunge to five-year low,2008-11-19,CBC
"Canadian dollar rebounds, but TSX falls on yuan devaluation",China's move to devalue currency by further 1.6% causes global market turmoil,2015-08-13,CBC
Freshii shares trade above IPO price on first day of trading,Company has 244 outlets in 15 countries,2017-02-01,CBC
Sleep Country Canada rejoins TSX on Thursday after $300M IPO,Shares will trade publicly after IPO pricing them at $17 each,2015-07-16,CBC
Oil and gas stocks sink TSX,,2005-03-07,CBC
"Oil closes below $28 US a barrel, dragging TSX down 253 points",Canadian dollar manages to stay in positive territory,2016-02-09,CBC
Air Canada shares to be suspended Wednesday: TSX,,2004-08-24,CBC
Energy stocks lead TSX to 87-point gain,,2005-11-03,CBC
TSX tumbles on income trust reaction,,2006-11-02,CBC
