title,description
What drives the cost of condo insurance?,"In some cases, the rates are soaring but it's not a simple calculation",2020-01-03,CBC
"45 per cent of Hamilton renters living in unaffordable housing, new report says","Average rent in the downtown core, mountain has risen 40 per cent in 8 years",2019-12-01,CBC
City of Montreal to exercise right of first refusal to turn properties for sale into social housing,"Announcement part of city's plans to build 12,000 more social and affordable housing units by 2021",2020-02-18,CBC
B.C. defers stumpage fees for 3 months to aid forest industry during pandemic,"Forest ministry says deferral not a subsidy because it must be repaid, with interest",2020-05-01,CBC
"Canadians worried about child care, education and housing affordability, Morneau told","Budget expected to include details on campaign promise to create 250,000 before- and after-school spaces",2020-03-08,CBC
Housing homeless in hotels would take too long due to suicide prevention retrofits: minister,Rajan Sawhney says overflow shelter spaces like Telus Convention Centre was the fast pandemic response,2020-03-31,CBC
"What you need to know about COVID-19 in B.C. on April 20, 2020",Provincial health officer Dr. Bonnie Henry will give her next update at 3 p.m. PT,2020-04-20,CBC
Statistics are great unless they measure the wrong things: Don Pittis,"Statistics Canada looks to Big Data to size up Canadians, but are the numbers biased?",2020-01-20,CBC
Councillor pushes for micro-structure homeless solution,A request for a Conestoga Hut pilot project will be put forward to a city committee today,2020-02-19,CBC
Housing group wants city to license landlords,"Renters, neighbours, landlords asked to fill out survey by Sept. 4.",2019-08-29,CBC
Vancouver keeps crown as Canadian metropolis with highest rents and lowest vacancies,Property values went down — but average rents increased higher than inflation ,2020-01-15,CBC
Housing sales down in August across Hamilton-Burlington,But year-to-date sales still up due to a 'strong spring',2019-09-04,CBC
"Small businesses demand action, not just talk, on rent relief amid COVID-19 crisis",Government programs trying to keep businesses afloat but many are falling through the cracks,2020-04-16,CBC
Low vacancy rates for Saint John apartments could spell trouble for low-income renters,"'Affordability becomes an issue' when vacancy rate outpaces supply, says analyst with CMHC ",2020-01-21,CBC
7 potential lingering effects of COVID-19 on the economy: Don Pittis,How to choose among economic forecasts in a time of record uncertainty,2020-03-30,CBC
Renter who listed spare room on Airbnb ordered to repay roommate's damage deposit,B.C. Civil Resolution Tribunal decision says listing breached roommate agreement,2019-08-25,CBC
'The system isn't working': Kitchener housing report raises red flags on affordability,"Data gaps on housing speculation, 'renovictions' also highlighted",2020-01-13,CBC
CMHC predicts moderate Sask. housing market rebound in next year,Rebound predicted after low 2019 numbers,2019-10-25,CBC
This Toronto garage actually costs almost $600K,Realtor calls it an ‘interesting property’ that will no doubt draw demand,2019-09-08,CBC
Rising Vanier house prices spark gentrification fears,Average selling price of a home has risen 11% in last 12 months,2019-08-08,CBC
How the city of Cambridge hopes to pay for more affordable housing,"Current wait times for affordable units are lengthy, says Housing Cambridge GM",2019-05-21,CBC
Net-zero-energy home sits empty as builder struggles to find buyers,Builder says mortgage and appraisal system keeps families out of low energy homes,2020-02-06,CBC
Home values tumble by up to 15% across Metro Vancouver,"Most expensive home in B.C. remains Chip Wilson's Point Grey Road mansion, according to B.C. Assessment",2020-01-02,CBC
"Looking to sell your house? It's going to take a while, say housing experts",Real estate agent Mike Turner has a few tips if you have to sell in this market,2019-08-20,CBC
"Calgary home prices forecast to decline again in 2020, but by less than in 2019","Real estate board expects prices to drop 0.7%, compared with 3.4% last year",2020-01-14,CBC
"Rental vacancies up in Ottawa, but so's the rent",2-bedroom units in city's west end led surge in rental prices in 2019,2020-01-16,CBC
"Home sales rise for 5th month in a row in July, prices up 4% in past year",Canada's housing market is showing signs of coming out of stress-test slumber ,2019-08-15,CBC
Yellowknife's housing market slows as economic slump looms on the horizon: CMHC,CMHC's annual report on Northern housing shows mixed outlook across the 3 territories ,2019-08-29,CBC
Forget Toronto. Buying in P.E.I. increasingly 'cutthroat' as home prices rise,"'People are banging on doors, saying 'I really like your house, are you interested in selling?'",2019-08-25,CBC
Forget Toronto. Buying in P.E.I. increasingly 'cutthroat' as home prices rise,"'People are banging on doors, saying 'I really like your house, are you interested in selling?'",2019-08-25,CBC
Yellowknife's housing market slows as economic slump looms on the horizon: CMHC,CMHC's annual report on Northern housing shows mixed outlook across the 3 territories ,2019-08-29,CBC
Average price of homes sold on P.E.I. up from last year,September 2019 saw a big spike,2019-10-05,CBC
An alley full of dumpster fires: Which crisis would you like to deal with first?,"If the Muskrat Falls report weren't enough, a stock market collapse and a pandemic came upon us",2020-03-14,CBC
"Feds, Ontario commit $1.4B for affordable housing for low-income families","Investment is set to run from 2020-2028 with each family receiving about $2,500",2019-12-19,CBC
"Habitat for Humanity residents given temporary reprieve during pandemic, court battle continues",'It was a relief for everybody. At least we can just focus on one thing now: our kids' ,2020-03-23,CBC
Most evacuation orders lifted as Fort McMurray floodwaters recede,Mayor says warm temperatures helping to thaw massive ice jams faster than expected,2020-05-04,CBC
City of Vancouver asks for input on future of co-op housing as leases run out,City says 4 scenarios recognize key concerns expressed by co-op residents,2020-01-28,CBC
"Chéticamp housing shortage 'killing our economy,' councillor says",Inverness County conducting a housing survey until the end of October,2019-10-22,CBC
"Social assistance increases don't go far enough, say advocates for poor","Despite 5 per cent increase in monthly rates, anti-poverty activists say gap is still too large",2020-03-10,CBC
New housing opening in northern B.C. for Indigenous patients who have to travel for medical appointments,The units will be close to medical centres in Prince George and Fort St. John,2020-01-21,CBC
"Hamilton-Burlington average home price to rise 3.8 per cent in 2020, ReMax estimates",Compared to a 3.7 per cent national increase for the average home price,2019-11-27,CBC
Hamilton-Burlington housing sales up 10.9% in May: RAHB,"Condos, townhouses see biggest sales growth",2019-06-04,CBC
"Finally, good news for renters as prices are expected to lead property decline: Don Pittis",But COVID-19 disruptions in rental market could have wider effects on Canadian economy,2020-04-20,CBC
Construction groups tell City of Winnipeg to boost infrastructure spending,Construction industry says economy shocked by COVID-19 needs boost,2020-04-27,CBC
Montreal aims to boost affordable housing as rental market tightens,"Proposed rules are designed to make living in the city easier, but developers have concerns",2019-06-12,CBC
Construction groups tell City of Winnipeg to boost infrastructure spending,Construction industry says economy shocked by COVID-19 needs boost,2020-04-27,CBC
"City puts plan to tax vacant homes on hold, but the idea isn't dead quite yet","Tax in Vancouver didn't add many affordable units to the rental market, critics say",2020-02-05,CBC
"Finally, good news for renters as prices are expected to lead property decline: Don Pittis",But COVID-19 disruptions in rental market could have wider effects on Canadian economy,2020-04-20,CBC
"Amid 'astronomical' house prices, councillors push for bigger tax rebate in first-time buyers' pockets","Some warn proposal could curb city revenue stream, push up home prices",2020-01-25,CBC
How Charlottetown has become one of the hottest housing markets in Canada,"New stock, new uses driving prices",2019-07-31,CBC
Tips for selling your home in a buyers' market,"In this market, sellers need to be realistic about the price they set",2019-06-02,CBC
'Renoviction' rates soar due to big-city housing crunch,"'It's a way of making outrageous profits in a very short time,' housing advocate says",2019-12-30,CBC
"Rent in Ottawa out of reach for low-income earners, report finds","Tenants must earn $26 per hour to afford 2-bedroom apartment, think-tank says",2019-07-19,CBC
