"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","Canada",,,,,,,,,,,,,,,
"","","Employment 3",,,,,,,,,,,,,,,
"Sex","Age group","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020"
"",,"Persons",,,,,,,,,,,,,,,
,"35 to 39 years","1,117.9","1,132.9","1,102.4","1,097.4","1,122.6","1,128.2","1,119.6","1,115.1","1,134.1","1,129.8","1,127.9","1,128.2","1,110.4","1,127.0","1,111.5","982.1"
,"40 to 44 years","1,006.4","1,004.4","1,036.1","1,044.4","1,055.2","1,066.9","1,069.4","1,068.0","1,079.2","1,084.8","1,070.7","1,065.2","1,075.3","1,056.3","1,018.3","951.6"
,"45 to 49 years","987.7","997.2","1,003.1","1,024.3","1,036.7","1,036.2","1,043.0","1,034.4","1,042.7","1,003.9","994.7","995.4","969.0","970.7","958.6","887.1"
,"50 to 54 years","1,041.6","1,034.1","1,036.3","1,027.8","1,055.4","1,051.7","1,044.9","1,047.4","1,045.7","1,046.2","1,042.4","1,028.4","1,026.3","1,039.8","1,013.7","939.4"
,"55 to 59 years","1,012.9","1,019.8","1,005.4","1,020.8","1,036.0","1,037.9","1,029.2","1,027.9","1,026.7","1,017.7","1,008.4","988.8","983.4","991.8","973.0","893.2"
,"60 to 64 years","678.6","677.3","696.2","697.0","726.8","740.2","737.7","738.2","757.5","749.0","740.5","743.7","738.7","741.4","708.7","625.3"
,"65 years and over","511.7","518.7","534.4","547.2","537.2","548.9","538.7","556.9","561.4","584.0","567.5","577.5","565.0","563.6","527.5","490.8"
,"65 to 69 years","299.7","303.5","316.2","326.7","324.1","333.4","329.3","339.5","336.5","350.4","332.5","342.2","334.6","332.0","305.2","276.9"
,"70 years and over","212.0","215.2","218.2","220.5","213.1","215.5","209.5","217.4","224.8","233.6","235.0","235.3","230.5","231.6","222.3","213.9"
"Females","15 years and over","8,917.9","8,975.0","8,934.3","9,025.2","9,156.7","9,213.2","9,048.2","9,056.1","9,115.7","9,146.7","9,108.7","9,137.6","9,026.8","9,047.0","8,390.1","7,537.5"
,"15 to 24 years","1,146.3","1,165.1","1,169.7","1,188.2","1,287.2","1,335.0","1,400.3","1,407.7","1,217.3","1,231.7","1,222.6","1,231.5","1,190.2","1,204.8","966.6","728.3"
,"25 years and over","7,771.7","7,809.9","7,764.6","7,837.0","7,869.5","7,878.1","7,647.8","7,648.4","7,898.3","7,915.1","7,886.1","7,906.1","7,836.6","7,842.2","7,423.5","6,809.1"
