REF_DATE,GEO,DGUID,Components,Unit of measure,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-03,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,2.64,,,,2
2019-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,635,,,,0
2019-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,630,,,,0
2019-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,685,,,,0
2019-04,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,793,,,,0
2019-05,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,896,,,,0
2019-06,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,952,,,,0
2019-07,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,904,,,,0
2019-08,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,800,,,,0
2019-09,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,735,,,,0
2019-10,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,797,,,,0
2019-11,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,746,,,,0
2019-12,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,708,,,,0
2020-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,662,,,,0
2020-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,606,,,,0
2020-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Dollars,Dollars,81,millions,6,v122667726,1.3.1,773,,,,0
2019-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.60,,,,2
2019-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.45,,,,2
2019-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.44,,,,2
2019-04,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.59,,,,2
2019-05,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.57,,,,2
2019-06,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.69,,,,2
2019-07,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.76,,,,2
2019-08,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.61,,,,2
2019-09,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.70,,,,2
2019-10,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.64,,,,2
2019-11,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.52,,,,2
2019-12,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.48,,,,2
2020-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.40,,,,2
2020-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.31,,,,2
2020-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year",Interest rate,Percent,239,units,0,v122667777,1.3.2,5.82,,,,2
2019-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1157,,,,0
2019-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1261,,,,0
2019-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1425,,,,0
2019-04,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1993,,,,0
2019-05,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,2218,,,,0
2019-06,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1681,,,,0
2019-07,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1569,,,,0
2019-08,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1394,,,,0
2019-09,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1395,,,,0
2019-10,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1314,,,,0
