REF_DATE,GEO,DGUID,Financial market statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-04-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7485,,,,4
2019-04-03,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7475,,,,4
2019-04-04,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-04-05,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7473,,,,4
2019-04-06,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-04-07,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-04-08,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7486,,,,4
2019-04-09,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7459,,,,4
2019-04-10,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7468,,,,4
2019-04-11,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7477,,,,4
2019-04-12,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7496,,,,4
2019-04-13,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-04-14,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-04-15,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7458,,,,4
2019-04-16,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7476,,,,4
2019-04-17,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7420,,,,4
2019-04-18,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7461,,,,4
2019-04-19,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,,..,,,4
2019-04-20,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-04-21,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-04-22,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7458,,,,4
2019-04-23,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7453,,,,4
2019-04-24,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7457,,,,4
2019-04-25,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-04-26,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7473,,,,4
2019-04-27,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-04-28,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-04-29,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7466,,,,4
2019-04-30,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7507,,,,4
2019-05-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7457,,,,4
2019-05-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7494,,,,4
2019-05-03,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7476,,,,4
2019-05-04,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-05-05,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-05-06,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7476,,,,4
2019-05-07,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7408,,,,4
2019-05-08,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7432,,,,4
2019-05-09,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7432,,,,4
2019-05-10,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7414,,,,4
2019-05-11,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-05-12,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-05-13,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7450,,,,4
2019-05-14,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7444,,,,4
2019-05-15,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7476,,,,4
2019-05-16,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7477,,,,4
2019-05-17,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7456,,,,4
2019-05-18,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-05-19,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-05-20,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,,..,,,4
2019-05-21,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7471,,,,4
2019-05-22,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7465,,,,4
2019-05-23,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7470,,,,4
2019-05-24,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7485,,,,4
2019-05-25,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-05-26,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-05-27,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7359,,,,4
2019-05-28,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7437,,,,4
2019-05-29,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7426,,,,4
2019-05-30,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7456,,,,4
2019-05-31,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7449,,,,4
2019-06-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-06-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-06-03,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7497,,,,4
2019-06-04,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7481,,,,4
2019-06-05,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7488,,,,4
2019-06-06,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7394,,,,4
2019-06-07,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7428,,,,4
2019-06-08,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-06-09,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-06-10,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7385,,,,4
2019-06-11,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7448,,,,4
